Please ignore. Just helpful for HCMR logistics --> Sequenced,Observatory-ID,ARMS-ID,MaterialSample-ID,Event-ID,Deployment Date,Collection Date,Observatory-ID,ARMS-ID,Country,Fraction_Specific,Fraction,Preservative,Filter (micrometer),Crate cover used during retrieval,OriginalSample-ID,gene_COI,COI_demultiplexed,gene_COI_negative_control,gene_ITS,ITS_demultiplexed,gene_ITS_negative_control,gene_18S,18S_demultiplexed,gene_18S_negative_control,initial number of paired-end reads,initial number of paired-end reads,initial number of paired-end reads,Cleaned sequences,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,Open access date
,Limfjord,Green33,ARMS_Limfjord_Green33_20201110_20211115_SF40,ARMS_Limfjord_Green33_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Green33,Denmark,Sessile_40um,Sessile,DMSO,40,no,ARMS_ Limfjord1_201110-211115_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limfjord,Yellow8,ARMS_Limfjord_Yellow8_20201110_20211115_MF100,ARMS_Limfjord_Yellow8_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Yellow8,Denmark,Motile_100um,Motile,DMSO,100,no,ARMS_Limfjord2_201110-211115_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limfjord,Yellow8,ARMS_Limfjord_Yellow8_20201110_20211115_MF500,ARMS_Limfjord_Yellow8_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Yellow8,Denmark,Motile_500um,Motile,DMSO,500,no,ARMS_ Limfjord2_201110-211115_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limfjord,Yellow8,ARMS_Limfjord_Yellow8_20201110_20211115_SF40,ARMS_Limfjord_Yellow8_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Yellow8,Denmark,Sessile_40um,Sessile,DMSO,40,no,ARMS_ Limfjord2_201110-211115_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2022,Limfjord,Red2,ARMS_Limfjord_Red2_20191029_20201110_MF100,ARMS_Limfjord_Red2_20191029_20201110,2019-10-29,2020-11-10,Limfjord,Red2,Denmark,Motile_100um,Motile,DMSO,100,,ARMS_Limfjord3_191029-201110_MF100_B,ERR9632099,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632084,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Limfjord,Red2,ARMS_Limfjord_Red2_20191029_20201110_MF500,ARMS_Limfjord_Red2_20191029_20201110,2019-10-29,2020-11-10,Limfjord,Red2,Denmark,Motile_500um,Motile,DMSO,500,,ARMS_Limfjord3_191029-201110_MF500_B,ERR9632100,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632085,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Limfjord,Red2,ARMS_Limfjord_Red2_20191029_20201110_SF40,ARMS_Limfjord_Red2_20191029_20201110,2019-10-29,2020-11-10,Limfjord,Red2,Denmark,Sessile_40um,Sessile,DMSO,40,,ARMS_Limfjord3_191029-201110_SF40_B,ERR9632101,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632086,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
,Limfjord,Red2,ARMS_Limfjord_Red2_20201110_20211115_MF100,ARMS_Limfjord_Red2_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Red2,Denmark,Motile_100um,Motile,DMSO,100,no,ARMS_Limfjord3_201110-211115_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limfjord,Red2,ARMS_Limfjord_Red2_20201110_20211115_MF500,ARMS_Limfjord_Red2_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Red2,Denmark,Motile_500um,Motile,DMSO,500,no,ARMS_ Limfjord3_201110-211115_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limfjord,Red2,ARMS_Limfjord_Red2_20201110_20211115_SF40,ARMS_Limfjord_Red2_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Red2,Denmark,Sessile_40um,Sessile,DMSO,40,no,ARMS_ Limfjord3_201110-211115_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2020,Limfjord,Red2,ARMS_Limfjord_Red2_20190618_20191029_MF100,ARMS_Limfjord_Red2_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Red2,Denmark,Motile_100um,Motile,DMSO,100,Yes,2019_Limfjord_Red2_MF100_DMSO,ERR4018502,MiSeq (indices),ERR4018471,ERR4018493,MiSeq (indices),ERR4018473,ERR4018484,MiSeq (indices),ERR4018472,28067,15913,22740,,Pass,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,2021-05-01
January 2020,Limfjord,Red2,ARMS_Limfjord_Red2_20190618_20191029_MF500,ARMS_Limfjord_Red2_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Red2,Denmark,Motile_500um,Motile,DMSO,500,Yes,2019_Limfjord_Red2_MF500_DMSO,ERR4018500,MiSeq (indices),ERR4018471,ERR4018491,MiSeq (indices),ERR4018473,ERR4018482,MiSeq (indices),ERR4018472,28799,13,22176,,Warn,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Limfjord,Red2,ARMS_Limfjord_Red2_20190618_20191029_SF40,ARMS_Limfjord_Red2_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Red2,Denmark,Sessile_40um,Sessile,DMSO,40,Yes,2019_Limfjord_Red2_SF_DMSO,ERR4018501,MiSeq (indices),ERR4018471,ERR4018492,MiSeq (indices),ERR4018473,ERR4018483,MiSeq (indices),ERR4018472,23322,7,25548,,Fail,Pass,Fail,Pass,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Limfjord,Yellow8,ARMS_Limfjord_Yellow8_20190618_20191029_MF100,ARMS_Limfjord_Yellow8_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Yellow8,Denmark,Motile_100um,Motile,DMSO,100,,2019_Limfjord_Yellow8_MF100_DMSO,ERR4018496,MiSeq (indices),ERR4018471,ERR4018487,MiSeq (indices),ERR4018473,ERR4018478,MiSeq (indices),ERR4018472,23533,14345,17264,,Pass,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2021-05-01
January 2020,Limfjord,Yellow8,ARMS_Limfjord_Yellow8_20190618_20191029_MF500,ARMS_Limfjord_Yellow8_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Yellow8,Denmark,Motile_500um,Motile,DMSO,500,,2019_Limfjord_Yellow8_MF500_DMSO,ERR4018494,MiSeq (indices),ERR4018471,ERR4018485,MiSeq (indices),ERR4018473,ERR4018476,MiSeq (indices),ERR4018472,24725,31779,32179,,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Limfjord,Yellow8,ARMS_Limfjord_Yellow8_20190618_20191029_SF40,ARMS_Limfjord_Yellow8_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Yellow8,Denmark,Sessile_40um,Sessile,DMSO,40,,2019_Limfjord_Yellow8_SF_DMSO,ERR4018495,MiSeq (indices),ERR4018471,ERR4018486,MiSeq (indices),ERR4018473,ERR4018477,MiSeq (indices),ERR4018472,13887,14153,36343,,Fail,Fail,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
May 2021,Plymouth,MBA1,ARMS_Plymouth_MBA1_20180701_20181001_MF100_DMSO,ARMS_Plymouth_MBA1_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA1,UK,Motile_100um,Motile,DMSO,100,,MBA_ARMS1-MF100-DMSO,ERR7125591,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125583,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Plymouth,MBA1,ARMS_Plymouth_MBA1_20180701_20181001_MF100_ETOH,ARMS_Plymouth_MBA1_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA1,UK,Motile_100um,Motile,EtOH,100,,MBA_ARMS1-MF100-ETOH,ERR7125592,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125584,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Plymouth,MBA1,ARMS_Plymouth_MBA1_20180701_20181001_MF500_DMSO,ARMS_Plymouth_MBA1_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA1,UK,Motile_500um,Motile,DMSO,500,,MBA_ARMS1-MF500-DMSO,ERR7125593,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125585,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Plymouth,MBA1,ARMS_Plymouth_MBA1_20180701_20181001_MF500_ETOH,ARMS_Plymouth_MBA1_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA1,UK,Motile_500um,Motile,EtOH,500,,MBA_ARMS1-MF500-ETOH,ERR7125594,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125586,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Plymouth,MBA1,ARMS_Plymouth_MBA1_20180701_20181001_SF40_DMSO,ARMS_Plymouth_MBA1_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA1,UK,Sessile_40um,Sessile,DMSO,40,,MBA_ARMS1-SF-DMSO,ERR7125595,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125587,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Plymouth,MBA1,ARMS_Plymouth_MBA1_20180701_20181001_SF40_ETOH,ARMS_Plymouth_MBA1_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA1,UK,Sessile_40um,Sessile,EtOH,40,,MBA_ARMS1-SF-ETOH,ERR7125596,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125588,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
January 2020,Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20190716_20190916_MF100,ARMS_Plymouth_MBA1A_20190716_20190916,2019-07-16,2019-09-16,Plymouth,MBA1A,UK,Motile_100um,Motile,DMSO,100,,2019_MBA_ARMS1A_MF100_DMSO,ERR4018670,MiSeq (indices),ERR4018471,ERR4018661,MiSeq (indices),ERR4018473,ERR4018652,MiSeq (indices),ERR4018472,5536,25933,38591,,Fail,Warn,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20190716_20190916_MF500,ARMS_Plymouth_MBA1A_20190716_20190916,2019-07-16,2019-09-16,Plymouth,MBA1A,UK,Motile_500um,Motile,DMSO,500,,2019_MBA_ARMS1A_MF500_DMSO,ERR4018669,MiSeq (indices),ERR4018471,ERR4018660,MiSeq (indices),ERR4018473,ERR4018651,MiSeq (indices),ERR4018472,42128,32252,4713,,Fail,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2021-05-01
January 2020,Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20190716_20190916_SF40,ARMS_Plymouth_MBA1A_20190716_20190916,2019-07-16,2019-09-16,Plymouth,MBA1A,UK,Sessile_40um,Sessile,DMSO,40,,2019_MBA_ARMS1A_SF_DMSO,ERR4018671,MiSeq (indices),ERR4018471,ERR4018662,MiSeq (indices),ERR4018473,ERR4018653,MiSeq (indices),ERR4018472,19167,38334,47825,,Fail,Fail,Fail,Pass,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
,Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20200717_20200921_MF100,ARMS_Plymouth_MBA1A_20200717_20200921,2020-07-17,2020-09-21,Plymouth,MBA1A,UK,Motile_100um,Motile,DMSO,100,,ARMS1A_200717-200921_MF100_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20200717_20200921_MF500,ARMS_Plymouth_MBA1A_20200717_20200921,2020-07-17,2020-09-21,Plymouth,MBA1A,UK,Motile_500um,Motile,DMSO,500,,ARMS1A_200717-200921_MF500_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth,MBA1A,ARMS_Plymouth_MBA1A_20200717_20200921_SF40,ARMS_Plymouth_MBA1A_20200717_20200921,2020-07-17,2020-09-21,Plymouth,MBA1A,UK,Sessile,Sessile,DMSO,40,,ARMS1A_200717-200921_SF_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2020,Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20190716_20190918_MF100,ARMS_Plymouth_MBA1B_20190716_20190918,2019-07-16,2019-09-18,Plymouth,MBA1B,UK,Motile_100um,Motile,DMSO,100,,2019_MBA_ARMS1B_MF100_DMSO,ERR4018673,MiSeq (indices),ERR4018471,ERR4018664,MiSeq (indices),ERR4018473,ERR4018655,MiSeq (indices),ERR4018472,22906,36862,65794,,Fail,Fail,Fail,Warn,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20190716_20190918_MF500,ARMS_Plymouth_MBA1B_20190716_20190918,2019-07-16,2019-09-18,Plymouth,MBA1B,UK,Motile_500um,Motile,DMSO,500,,2019_MBA_ARMS1B_MF500_DMSO,ERR4018672,MiSeq (indices),ERR4018471,ERR4018663,MiSeq (indices),ERR4018473,ERR4018654,MiSeq (indices),ERR4018472,21515,23786,27474,,Fail,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,2021-05-01
January 2020,Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20190716_20190918_SF40,ARMS_Plymouth_MBA1B_20190716_20190918,2019-07-16,2019-09-18,Plymouth,MBA1B,UK,Sessile_40um,Sessile,DMSO,40,,2019_MBA_ARMS1B_SF_DMSO,ERR4018674,MiSeq (indices),ERR4018471,ERR4018665,MiSeq (indices),ERR4018473,ERR4018656,MiSeq (indices),ERR4018472,28312,24742,47086,,Warn,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2021-05-01
,Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20200717_20200922_MF100,ARMS_Plymouth_MBA1B_20200717_20200922,2020-07-17,2020-09-22,Plymouth,MBA1B,UK,Motile_100um,Motile,DMSO,100,,ARMS1B_200717-200922_MF100_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20200717_20200922_MF500,ARMS_Plymouth_MBA1B_20200717_20200922,2020-07-17,2020-09-22,Plymouth,MBA1B,UK,Motile_500um,Motile,DMSO,500,,ARMS1B_200717-200922_MF500_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth,MBA1B,ARMS_Plymouth_MBA1B_20200717_20200922_SF40,ARMS_Plymouth_MBA1B_20200717_20200922,2020-07-17,2020-09-22,Plymouth,MBA1B,UK,Sessile,Sessile,DMSO,40,,ARMS1B_200717-200922_SF_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2020,Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20190716_20190920_MF100,ARMS_Plymouth_MBA1C_20190716_20190920,2019-07-16,2019-09-20,Plymouth,MBA1C,UK,Motile_100um,Motile,DMSO,100,,2019_MBA_ARMS1C_MF100_DMSO,ERR4018676,MiSeq (indices),ERR4018471,ERR4018667,MiSeq (indices),ERR4018473,ERR4018658,MiSeq (indices),ERR4018472,26901,20560,29954,,Fail,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20190716_20190920_MF500,ARMS_Plymouth_MBA1C_20190716_20190920,2019-07-16,2019-09-20,Plymouth,MBA1C,UK,Motile_500um,Motile,DMSO,500,,2019_MBA_ARMS1C_MF500_DMSO,ERR4018675,MiSeq (indices),ERR4018471,ERR4018666,MiSeq (indices),ERR4018473,ERR4018657,MiSeq (indices),ERR4018472,13356,38274,54477,,Warn,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2021-05-01
January 2020,Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20190716_20190920_SF40,ARMS_Plymouth_MBA1C_20190716_20190920,2019-07-16,2019-09-20,Plymouth,MBA1C,UK,Sessile_40um,Sessile,DMSO,40,,2019_MBA_ARMS1C_SF_DMSO,ERR4018677,MiSeq (indices),ERR4018471,ERR4018668,MiSeq (indices),ERR4018473,ERR4018659,MiSeq (indices),ERR4018472,42248,34940,71749,,Warn,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2021-05-01
,Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20200717_20200923_MF100,ARMS_Plymouth_MBA1C_20200717_20200923,2020-07-17,2020-09-23,Plymouth,MBA1C,UK,Motile_100um,Motile,DMSO,100,,ARMS1C_200717-200923_MF100_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20200717_20200923_MF500,ARMS_Plymouth_MBA1C_20200717_20200923,2020-07-17,2020-09-23,Plymouth,MBA1C,UK,Motile_500um,Motile,DMSO,500,,ARMS1C_200717-200923_MF500_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plymouth,MBA1C,ARMS_Plymouth_MBA1C_20200717_20200923_SF40,ARMS_Plymouth_MBA1C_20200717_20200923,2020-07-17,2020-09-23,Plymouth,MBA1C,UK,Sessile,Sessile,DMSO,40,,ARMS1C_200717-200923_SF_DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2019,Plymouth,MBA2,ARMS_Plymouth_MBA2_20180701_20181001_MF100_DMSO,ARMS_Plymouth_MBA2_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA2,UK,Motile_100um,Motile,DMSO,100,,MBA_ARMS2-MF100-DMSO,N/A (no successful amplification),N/A (no successful amplification),N/A (no successful amplification),ERR4018647,MiSeq (indices),ERR4018475,ERR4605220,MiSeq (indices) / cutadapt (primers),ERR4605902,,152874,1110390,,N/A,Fail,Fail,N/A,Pass,Pass,N/A,Pass,Pass,N/A,Pass,Warn,N/A,Fail,Fail,2021-05-01
July 2019,Plymouth,MBA2,ARMS_Plymouth_MBA2_20180701_20181001_MF100_ETOH,ARMS_Plymouth_MBA2_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA2,UK,Motile_100um,Motile,EtOH,100,,MBA_ARMS2-MF100-ETOH,N/A (no successful amplification),N/A (no successful amplification),N/A (no successful amplification),ERR4018648,MiSeq (indices),ERR4018475,ERR4605221,MiSeq (indices) / cutadapt (primers),ERR4605902,,195556,558638,,N/A,Fail,Fail,N/A,Warn,Pass,N/A,Pass,Pass,N/A,Pass,Warn,N/A,Fail,Fail,2021-05-01
July 2019,Plymouth,MBA2,ARMS_Plymouth_MBA2_20180701_20181001_MF500_ETOH,ARMS_Plymouth_MBA2_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA2,UK,Motile_500um,Motile,EtOH,500,,MBA_ARMS2-MF500-ETOH,ERR4018650,MiSeq (indices),ERR4018737,ERR4018649,MiSeq (indices),ERR4018475,ERR4605222,MiSeq (indices) / cutadapt (primers),ERR4605902,117129,168942,645553,,Fail,Fail,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Warn,Fail,2021-05-01
May 2021,Plymouth,MBA2,ARMS_Plymouth_MBA2_20180701_20181001_SF40_DMSO,ARMS_Plymouth_MBA2_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA2,UK,Sessile_40um,Sessile,DMSO,40,,MBA_ARMS2-SF-DMSO,ERR7125597,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125589,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,Plymouth,MBA2,ARMS_Plymouth_MBA2_20180701_20181001_SF40_ETOH,ARMS_Plymouth_MBA2_20180701_20181001,2018-07-01,2018-10-01,Plymouth,MBA2,UK,Sessile_40um,Sessile,EtOH,40,,MBA_ARMS2-SF-ETOH,ERR7125598,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7125590,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,RavHarbour,RavH1,ARMS_Ravenna_RavH1_20210422_20210722_MF100,ARMS_Ravenna_RavH1_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Motile_100um,Motile,DMSO,100,,ARMS_RAVH1_20210422-20210722_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH1,ARMS_Ravenna_RavH1_20210422_20210722_MF500,ARMS_Ravenna_RavH1_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Motile_500um,Motile,DMSO,500,,ARMS_RAVH1_20210422-20210722_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH1,ARMS_Ravenna_RavH1_20210422_20210722_SF40,ARMS_Ravenna_RavH1_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Sessile_40um,Sessile,DMSO,40,,ARMS_RAVH1_20210422-20210722_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH2,ARMS_Ravenna_RavH2_20210422_20210722_MF100,ARMS_Ravenna_RavH2_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Motile_100um,Motile,DMSO,100,,ARMS_RAVH2_20210422-20210722_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH2,ARMS_Ravenna_RavH2_20210422_20210722_MF500,ARMS_Ravenna_RavH2_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Motile_500um,Motile,DMSO,500,,ARMS_RAVH2_20210422-20210722_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH2,ARMS_Ravenna_RavH2_20210422_20210722_SF40,ARMS_Ravenna_RavH2_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Sessile_40um,Sessile,DMSO,40,,ARMS_RAVH2_20210422-20210722_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH3,ARMS_Ravenna_RavH3_20210422_20210722_MF100,ARMS_Ravenna_RavH3_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Motile_100um,Motile,DMSO,100,,ARMS_RAVH3_20210422-20210722_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH3,ARMS_Ravenna_RavH3_20210422_20210722_MF500,ARMS_Ravenna_RavH3_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Motile_500um,Motile,DMSO,500,,ARMS_RAVH3_20210422-20210722_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavHarbour,RavH3,ARMS_Ravenna_RavH3_20210422_20210722_SF40,ARMS_Ravenna_RavH3_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVH,Italy,Sessile_40um,Sessile,DMSO,40,,ARMS_RAVH3_20210422-20210722_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM1,ARMS_Ravenna_RavM1_20210422_20210722_MF100,ARMS_Ravenna_RavM1_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Motile_100um,Motile,DMSO,100,,ARMS_RAVM1_20210422-20210722_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM1,ARMS_Ravenna_RavM1_20210422_20210722_MF500,ARMS_Ravenna_RavM1_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Motile_500um,Motile,DMSO,500,,ARMS_RAVM1_20210422-20210722_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM1,ARMS_Ravenna_RavM1_20210422_20210722_SF40,ARMS_Ravenna_RavM1_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Sessile_40um,Sessile,DMSO,40,,ARMS_RAVM1_20210422-20210722_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM2,ARMS_Ravenna_RavM2_20210422_20210722_MF100,ARMS_Ravenna_RavM2_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Motile_100um,Motile,DMSO,100,,ARMS_RAVM2_20210422-20210722_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM2,ARMS_Ravenna_RavM2_20210422_20210722_MF500,ARMS_Ravenna_RavM2_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Motile_500um,Motile,DMSO,500,,ARMS_RAVM2_20210422-20210722_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM2,ARMS_Ravenna_RavM2_20210422_20210722_SF40,ARMS_Ravenna_RavM2_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Sessile_40um,Sessile,DMSO,40,,ARMS_RAVM2_20210422-20210722_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM3,ARMS_Ravenna_RavM3_20210422_20210722_MF100,ARMS_Ravenna_RavM3_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Motile_100um,Motile,DMSO,100,,ARMS_RAVM3_20210422-20210722_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RavMarina,RavM3,ARMS_Ravenna_RavM3_20210422_20210722_MF500,ARMS_Ravenna_RavM3_20210422_20210722,2021-04-22,2021-07-22,Ravenna,RAVM,Italy,Motile_500um,Motile,DMSO,500,,ARMS_RAVM3_20210422-20210722_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
